Speaker,Line
Katy,"I just love how you guys know exactly what you wanna do, and you spend your whole life getting really good at it. I wish I was more like that. It’s like every time I get moderately good at something, I just quit and start something new. But I just know my own limits, and I’m not gonna waste my time chasing something that will ultimately be a disappointment for me. That’s not me."
Woman,"Guang Bo. Let her shoot. If you aim at nothing, you hit nothing."
Ying Nan,You were everything to her. She knew that one day you would find your way here and asked me to prepare something for your arrival.
Ying Nan,"After losing someone like her, it’s easy to feel alone in this world. But you’re not. You are children of this family, and I welcome you home."
Ying Nan,"You’re not in your father’s house any more. In Ta Lo, we train as equals. You’ve been in the shadows long enough, my child."
Katy,"Guang Bo, you saw that. That was tight."
Shang-Chi,My mother was the only one who could beat him. Show me how she did it.
Trevor Slattery,"No, sorry. Sorry. Offside, offside."
Ying Nan,Your mother knew who she was. Do you.
Ying Nan,"You are a product of all who came before you. The legacy of your family, the good and the bad, it is all a part of who you are."
Ying Nan,"Stop hiding, nephew. It only prolongs the pain."
Dweller-in-Darkness,We’ll be together Soon.
Razor Fist,Sir. The men are ready. The passage will open at dawn.
Razor Fist,I’ll prepare the vehicles.
Ying Li,"Lead with your breath. Look into your heart, the light and the dark. To know yourself, you must face them both."
Iron Gang Leader,Your husband tried to destroy us. The Iron Gang is here to repay that debt.
Ying Li,My husband is not the man he used to be.
Iron Gang Leader,It doesn’t matter.
Ying Li,Your business with him has nothing to do with my children.
Iron Gang Leader,"They can go, but someone has to pay."
Ying Li,Xialing. Shang-Chi. Go inside. I’m going to talk to our guests.
Shang-Chi,But you don’t have your powers.
Ying Li,"Shang-Chi, you have nothing to fear."
Shang-Chi,Mama. Mama.
Shang-Chi,Papa.
Xu Wenwu,She told me I could change. That I could leave my past behind.
Xu Wenwu,"But she was wrong. If I hadn’t taken them off, those men wouldn’t have dared to do this. And now they will pay for it."
Xu Wenwu,Where’s your boss.
Iron Gang Man,I don’t know. I swear I don’t.
Xu Wenwu,Okay.
Xu Wenwu,A blood debt has to be paid by blood. Will you help me.
Xu Wenwu,"We found the man responsible for killing your mother. It is your right to finish this for both of us. And when you return, we will rebuild The Ten Rings to what it once was."
Katy,Been looking everywhere for ya. You okay.
Shang-Chi,I’m not who you think I am.
Katy,You already apologised for that. We’re good…
Shang-Chi,That’s not what I’m talking about.
Katy,Okay. What… What is it.
Shang-Chi,"When my dad sent me to find the man who killed my mom… I told you I couldn’t go through with it. I lied. I thought that I could change my name, start a new life, pretend like it never happened. But…"
Shang-Chi,She would hate the person I’ve become.
Katy,"Your dad trained you to be an assassin when you were seven. He sent you on a hit at 14. You realise how messed up that is, right."
Shang-Chi,My mom is dead because of him. And now he’s coming to destroy her home. A blood debt has to be paid by blood.
Katy,What are you saying.
Shang-Chi,I’m gonna do what he trained me to do. I’m gonna kill him.
Xu Xialing,He’s here.
Guang Bo,No. You’re not ready. She stays here.
Xu Wenwu,Are you here to help the people holding your own mother captive.
Ying Nan,She isn’t back there. You’re being lied to by a creature who wants to destroy us all.
Xu Wenwu,Is that what they told you. I know my wife’s voice.
Ying Nan,"I miss my sister as much as you do, but this is not the way to honour her memory."
Xu Wenwu,Did you honour her when you turned her away from your gate.
Guang Bo,You fool. We turned you away. The sins of your past would have destroyed this place.
Xu Wenwu,"Be careful how you speak to me, young man. I’ve lived ten of your lifetimes. Let me pass."
Ying Nan,We cannot do that.
Xu Wenwu,Burn it down.
Xu Xialing,Stop him.
Xu Wenwu,Are you planning to stop me all by yourself.
Shang-Chi,I’m not afraid of you.
Xu Wenwu,"Yes, you are."
Xu Wenwu,"You’ve spent your entire life afraid. Always running, always hiding."
Xu Wenwu,"You were there when they came for her, and you did nothing. You stood at a window and watched her die."
Shang-Chi,She was gone and we needed you. But you chose those damn rings over us.
Shang-Chi,You trained your son to be a killer. Is this what you wanted.
Shang-Chi,"Even if you could bring her back, what makes you think she’d want anything to do with you."
Dweller-in-Darkness,"Save me. Save me, my dear."
Dweller-in-Darkness,Save me.
Xu Wenwu,"I’m coming, my love."
Ying Nan,He breached the gate.
Xu Xialing,Those things are gonna kill us all if we don’t work together.
Razor Fist,You think I’m going to fall for that.
Ying Nan,Your weapons are useless against them.
Razor Fist,"We don’t need your help. We are the mighty Ten Rings, and any…"
Razor Fist,We… We should work together. Release them. Release them.
Xu Xialing,What are they doing.
Ying Nan,"Stealing souls to feed the Dweller-in-Darkness. If it grows strong enough, it will break right through the gate. That was just the beginning."
Woman,It’s too dangerous.
Katy,I have to help my friends.
Guang Bo,Don’t die. Everyone to the water now.
Razor Fist,To the lake. Let’s go. Let’s go.
Katy,"Hey, where’s your brother."
Xu Xialing,I was hoping you knew.
Dweller-in-Darkness,Save me.
Guang Bo,"Aim at the sky, to win or die."
Guang Bo,Deep breath.
Ying Li,"Shang-Chi, you have nothing to fear. You have the heart of our dragon. I will always be a part of you. And your dad will too. Take everything we’ve given you and make it your own."
Ying Li,I’m so proud of you. Our family needs you. Go.
Guang Bo,Draw. Fire.
Ying Nan,You have to stop your father.
Shang-Chi,"She’s not back there, Dad."
Xu Wenwu,"Get out of my way, boy."
Shang-Chi,No.
Trevor Slattery,"Calm down, mate. I’m not dead, it’s just a performance. Now get down here and play along."
Xu Wenwu,I have to save her. She’s calling to me.
Shang-Chi,"I wish that were true. Dad, please. Your family needs you."
Dweller-in-Darkness,Let me out.
Shang-Chi,Shit.
Shang-Chi,It’s headed for the village.
Guang Bo,"If it gets our dragon’s soul, it will be unstoppable."
Guang Bo,Aim for the throat.
Xu Xialing,You have to let me go.
Xu Xialing,Let go.
Shang-Chi,I’m not leaving you again.
Katy,Holy shit.
Xu Xialing,Go.
Ying Nan,"Tonight, we honour those who gave their lives so we might see another day. They were more than warriors. They were our mothers and fathers, our sisters and brothers. And though we will always hold on to their memories, tonight we release them to rest with our ancestors."
Shang-Chi,"Farewell, Dad."
Xu Xialing,"Mum, we’ll be okay."
Ying Nan,"A thousand years ago, and a thousand years from now, we will always be together."
Katy,"I seriously thought we were going to die. And I’d only learned how to shoot a bow, like, a day earlier, now I’m on a battlefield, killing all these Soul Suckers with Shaun’s aunty, who’s this awesome, magical kung fu goddess."
Shang-Chi,"And I’m hanging on to The Great Protector with my sister at this point, trying not to get eaten by the Mega Soul Sucker."
Katy,"Oh, the Mega Soul Sucker was such a nasty bitch."
Shang-Chi,Yeah. It was trying to eat our dragon’s soul.
Katy,Which would have allowed it to destroy the entire universe.
Shang-Chi,Yeah.
Katy,"I only had one arrow left, and all I could hear in the back of my mind was my mom’s voice saying, “Just take the shot, you little mooch.” And so, I aimed right for the Sucker’s throat and I let her fly."
Shang-Chi,She hit it dead on.
Katy,And then Shaun used the Ten Rings to do this crazy Kamehameha fireball that exploded the thing…
Katy,…and he saved the world.
Shang-Chi,"Yeah, we, uh, lost some good people that day… but we made it."
Katy,We made it.
Soo,Are you done mocking me.
Katy,"Oh, no. We’re not mocking you."
Soo,So where is this sister of yours.
Shang-Chi,"She’s back at my dad’s compound, shutting down his operations."
Katy,"Yeah, his dad was the head of The Ten Rings for the past thousand years."
Soo,"Two weeks ago, you were parking cars for tips, and you want me to believe you’re now saving the world from soul-sucking monsters. I know, you’re trying to get me back for what I said last time, but I’m not gonna apologise…"
Soo,"…for speaking the truth as a friend. I really meant what I said, and, in fact, I actually think this whole bit you’re doing just further proves my point. You guys are obviously…"
Soo,What.
Wong,Shang-Chi. Shang-Chi.
Shang-Chi,Uh… Here. Present.
Wong,My name is Wong.
Shang-Chi,"Yeah, I know, sir. I’m a huge fan…"
Wong,Do you have the rings.
Shang-Chi,"Uh… Yeah, yes."
Wong,"Good. Let’s go, we have a lot to talk about. You too."
Katy,Me too.
Shang-Chi,I think we should…
Katy,Yeah.
Shang-Chi,"Uh, we gotta go."
Katy,"Yeah. I know this is, like, crazy, but I’m gonna text you, and we’ll do this again. Nice to see you, John."
Shang-Chi,I’ll Venmo you for the…
Wong,Hmm. They don’t match any artefacts from our codex. What do you think.
Bruce,"Mm, I’m not sure. They’re not vibranium. Chitauri."
Carol Danvers,Not like any alien tech I’ve seen. How long did your dad have them before he gave them to you.
Shang-Chi,Um… About a thousand years.
Bruce,Their thermoluminescence indicates they’re older than that. By a lot.
Wong,"The first time you used the rings, we felt it in Kamar-Taj."
Katy,What is it.
Carol Danvers,A beacon.
Bruce,They’re sending a message.
Shang-Chi,A message to where.
Carol Danvers,I’m so sorry. I have to deal with this. You can get my number from Bruce. It was so nice to meet you.
Bruce,"Yeah, I… I don’t have her number. She… She does this a lot. Guys, stay safe. Welcome to the circus."
Wong,"I know this is a lot to take in, but you’re gonna have to start getting used to that. From now on, the trajectory of your lives will be like nothing you’ve ever experienced before. And there’s no going back. You both have a long journey ahead of you. Go home, get some rest."
Katy,Yeah. That’s a good idea.
Shang-Chi,"Yeah. Yeah, we probably should do that. Or…"
"Katy, Wong and Shang-Chi",♪ Welcome to the Hotel California ♪ ♪ Such a lovely place ♪ ♪ Such a lovely place ♪♪ Such a lovely face ♪ ♪ Such a lovely face ♪
Razor Fist,They’re waiting.
Xu Xialing,Let’s get started. We have a lot of work to do.
